Code Géographique;Région;Département;Libellé Géographique;Coordonnees;année;Naissances
59445;31;59;Ohain;50.0369176402, 4.12652703676;2005;9
59448;31;59;Oost-Cappel;50.9297498837, 2.58933450299;2008;12
59451;31;59;Orsinval;50.2718570583, 3.63293709102;2006;10
59452;31;59;Ostricourt;50.4571255859, 3.03269713092;2003;70
59452;31;59;Ostricourt;50.4571255859, 3.03269713092;2010;81
59452;31;59;Ostricourt;50.4571255859, 3.03269713092;2006;76
59459;31;59;Petite-Forêt;50.3747760096, 3.47594179576;2008;75
59461;31;59;Petit-Fayt;50.1023567532, 3.82607936534;2013;3
59462;31;59;Phalempin;50.5128963726, 3.02222998505;2003;40
59462;31;59;Phalempin;50.5128963726, 3.02222998505;2006;52
59463;31;59;Pitgam;50.9299079429, 2.34010090191;2009;13
59463;31;59;Pitgam;50.9299079429, 2.34010090191;2012;15
59466;31;59;Pont-à-Marcq;50.5213224802, 3.11535964739;2011;34
59469;31;59;Pradelles;50.7340517429, 2.60269224096;2005;4
59470;31;59;Prémesques;50.6607863693, 2.9485483768;2006;32
59472;31;59;Preux-au-Bois;50.1647138146, 3.6553638264;2003;10
59474;31;59;Prisches;50.0779109986, 3.75922395806;2012;19
59478;31;59;Quaëdypre;50.9381093158, 2.46047387712;2004;13
59484;31;59;Quiévrechain;50.3920521291, 3.65887590653;2008;108
59485;31;59;Quiévy;50.162969816, 3.42160576023;2005;27
59486;31;59;Râches;50.4201328892, 3.13698851837;2006;29
59487;31;59;Radinghem-en-Weppes;50.6281404058, 2.89866058213;2007;6
59487;31;59;Radinghem-en-Weppes;50.6281404058, 2.89866058213;2012;9
59488;31;59;Raillencourt-Sainte-Olle;50.1884274141, 3.17806914502;2012;10
59490;31;59;Rainsars;50.0704332931, 3.99772859383;2005;3
59490;31;59;Rainsars;50.0704332931, 3.99772859383;2012;1
59496;31;59;Rejet-de-Beaulieu;50.0452957797, 3.63508660272;2010;5
59507;31;59;Ronchin;50.6044738955, 3.09168585537;2004;283
59509;31;59;Roost-Warendin;50.4147869735, 3.10349816509;2008;73
59515;31;59;Rouvignies;50.333483649, 3.44055794538;2006;10
59516;31;59;Rubrouck;50.8331982321, 2.36252595858;2012;7
59518;31;59;Ruesnes;50.2634217469, 3.5818116421;2003;2
59519;31;59;Rumegies;50.4924282163, 3.35255840321;2012;18
59520;31;59;Rumilly-en-Cambrésis;50.1304621675, 3.22848231666;2010;17
59520;31;59;Rumilly-en-Cambrésis;50.1304621675, 3.22848231666;2004;16
59521;31;59;Sailly-lez-Cambrai;50.1992760236, 3.17933507614;2013;8
59526;31;59;Saint-Amand-les-Eaux;50.4401000981, 3.44460708029;2006;233
59529;31;59;Saint-Aubin;50.1709642642, 3.91201093007;2009;4
59531;31;59;Saint-Benin;50.0760031859, 3.5318789033;2003;5
59533;31;59;Saint-Hilaire-lez-Cambrai;50.1812812123, 3.4168912736;2008;27
59539;31;59;Saint-Pierre-Brouck;50.8950694199, 2.19025685455;2009;18
59547;31;59;Saint-Vaast-en-Cambrésis;50.1944271461, 3.43509312626;2011;20
59547;31;59;Saint-Vaast-en-Cambrésis;50.1944271461, 3.43509312626;2004;15
59548;31;59;Saint-Waast;50.3009046885, 3.74775611906;2011;11
59548;31;59;Saint-Waast;50.3009046885, 3.74775611906;2006;5
59550;31;59;Salomé;50.5358395709, 2.83692247297;2004;53
59552;31;59;Sancourt;50.2144498638, 3.19130962776;2005;3
59554;31;59;Sars-et-Rosières;50.446729768, 3.33012536259;2012;5
59556;31;59;Sassegnies;50.1790384849, 3.79850687638;2008;1
59557;31;59;Saultain;50.335080255, 3.58004167583;2011;26
59558;31;59;Saulzoir;50.2425296454, 3.43939074526;2006;15
59563;31;59;Semousies;50.1639637271, 3.96792099301;2006;8
59564;31;59;La Sentinelle;50.3486299909, 3.47455507349;2010;44
59566;31;59;Sequedin;50.6248188486, 2.98254300781;2011;36
59569;31;59;Sin-le-Noble;50.3677512577, 3.12071297192;2012;251
59572;31;59;Solre-le-Château;50.1722246859, 4.09630317789;2004;22
